ime,kalorije,kjoule,voda,proteini,ogljikovi hidrati,sladkor,mascobe,vlaknine
Egg salad,239,999,63.0,8.0,7.0,7.0,20.0,1.0
Egg white raw,49,208,87.0,11.1,0.7,0.7,0.2,0.0
Egg whole dried powder,570,2383,8.0,46.0,3.0,3.0,42.0,0.0
Egg whole fried,235,986,64.5,13.5,1.0,1.0,20.0,0.0
Egg whole hard-boiled,154,645,74.2,12.9,0.7,0.7,11.2,0.0
Egg whole omelet,144,607,76.3,9.4,2.2,2.2,11.1,0.0
Egg whole raw,139,582,76.5,12.5,0.0,0.0,10.0,0.0
Egg yolk raw,348,1455,50.8,16.2,0.0,0.0,32.0,0.0
Eggplant raw,25,107,91.6,1.2,3.5,3.5,0.2,2.5
Endive green raw,16,70,93.0,1.5,1.0,1.0,0.0,3.5
Energy bar mixed variaties,419,1751,7.8,4.9,72.0,72.0,11.5,2.8
Energy drink mixed variaties,81,340,79.0,0.0,20.0,20.0,0.0,0.0
Escargots land snails cooked,80,336,80.4,16.0,1.6,1.6,1.0,0.0
Falafel prepared,275,1149,40.9,9.1,27.0,27.0,12.5,9.5
Fat animal solid for deep-frying,884,3695,0.0,0.0,0.0,0.0,100.0,0.0
Fennel bulb raw,40,171,90.0,2.0,7.0,7.0,0.0,2.3
Figs dried uncooked,270,1128,26.7,3.5,54.0,54.0,1.3,13.5
Figs fresh,64,269,82.3,1.4,13.0,13.0,0.2,2.1
Fish sticks breaded fried,247,1032,51.7,15.1,18.3,18.3,12.4,1.5
Fish sticks breaded mixed varieties raw,159,669,67.0,12.5,12.5,12.5,6.5,0.5
Flatfish flounder prepared,102,431,76.0,21.0,0.0,0.0,2.0,0.0
Flatfish flounder raw,80,335,79.5,17.5,0.0,0.0,1.0,0.0
Flatfish sole cooked,119,500,72.5,24.0,0.0,0.0,2.5,0.0
Flatfish sole raw,79,332,81.9,15.0,0.0,0.0,2.1,0.0
French fries deep fried,327,1366,35.4,4.5,40.0,40.0,16.0,3.1
French fries oven-heated,307,1283,34.0,5.5,46.0,46.0,10.5,3.0
French fries sticks,515,2153,5.0,6.5,48.5,48.5,31.5,7.5
French fries unsalted,287,1200,43.3,4.2,33.5,33.5,14.5,3.5
Frog legs raw,69,289,82.3,16.4,0.0,0.0,0.3,0.0
Gamba shellfish,97,407,75.8,20.5,0.2,0.2,1.5,0.0
Gammon pork,142,598,71.2,20.5,1.0,1.0,6.3,0.0
Gammon steak pork,150,632,69.7,22.6,0.0,0.0,6.7,0.0
Gammon steak pork cooked,212,889,59.6,28.0,0.4,0.4,11.0,0.0
Garlic raw,140,589,63.9,6.0,28.0,28.0,0.1,1.0
Garter green beans raw,42,180,87.7,3.0,7.0,7.0,0.0,1.3
Gelatin dried,366,1530,8.9,90.0,0.0,0.0,0.1,0.0
Gin 37 % v/v,210,882,69.0,0.0,0.0,0.0,0.0,0.0
Gin Dutch berry flavored16 % v/v,184,770,65.0,0.0,18.0,18.0,0.0,0.0
Gin Dutch blended 28 % v/v,196,820,72.0,0.0,0.0,0.0,0.0,0.0
Gin Dutch lemon flavored 30 % v/v,160,668,74.0,0.0,3.0,3.0,0.0,0.0
Gin Dutch old-style 28 % v/v,200,837,71.0,0.0,1.0,1.0,0.0,0.0
Ginger ale,15,64,96.2,0.0,3.8,3.8,0.0,0.0
Ginger canned heavy syrup,289,1208,26.2,0.0,70.0,70.0,0.0,2.8
Ginger root raw,62,262,84.1,1.2,11.5,11.5,1.0,1.2
